query,company_name,job_title,job_location,linkedin_job_url,website_url,career_url,job_list_url,opening_url,result_status,pipeline_status,error,reason_code,external_apply_exact,provider_search_exact,website_career_exact,route_union_exact,manual_disposition,manual_notes
Project Manager,Rider Levett Bucknall RLB,Project Manager,"Honolulu, HI",https://www.linkedin.com/jobs/view/project-manager-at-rider-levett-bucknall-rlb-4403834520,https://www.rlb.com,https://www.rlb.com/jobs/?selected_location=asia,https://www.rlb.com/jobs/?selected_location=asia,https://www.rlb.com/jobs/project-manager/,success,success,,,False,False,True,True,,
Project Manager,NextPlay Jobs,Project Manager,"Wichita, Kansas Metropolitan Area",https://www.linkedin.com/jobs/view/project-manager-at-nextplay-jobs-4436816565,https://www.nextplayjobs.com,https://www.linkedin.com/company/next-play-jobs/,,,partial,partial,job_board_not_found,JOB_BOARD_NOT_FOUND,False,False,False,False,,
Project Manager,Salas O'Brien,Project Manager,"Evansville, IN",https://www.linkedin.com/jobs/view/project-manager-at-salas-o-brien-4193245312,https://salasobrien.com/,,,,partial,failed,career_page_not_found,CAREER_PAGE_NOT_FOUND,False,False,False,False,,
Project Manager,Hays + Sons,Project Manager – Bloomington Full Time,"Bloomington, IN",https://www.linkedin.com/jobs/view/project-manager-%E2%80%93-bloomington%0Afull-time-at-hays-%2B-sons-4405588363,https://www.haysandsons.com,https://haysandsonscareers.com/,https://haysandsonscareers.com/,https://haysandsonscareers.com/job/bloomington-in-2-project-manager-bloomington/,success,success,,,False,False,True,True,,
Project Manager,"B&D Industries, Inc.",Project Manager,"Santa Teresa, NM",https://www.linkedin.com/jobs/view/project-manager-at-b-d-industries-inc-4440288309,https://www.bdindustries.com/,,,,partial,failed,career_page_not_found,CAREER_PAGE_NOT_FOUND,False,False,False,False,,
Project Manager,Vertiv,Project Manager,"Greenville, SC",https://www.linkedin.com/jobs/view/project-manager-at-vertiv-4436431063,https://www.vertiv.com/en-asia/,https://egup.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs,https://egup.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX,,success,partial,,PROVIDER_VARIANT_UNSUPPORTED,False,False,False,False,,
Project Manager,"Northern Clearing, Inc.",Project Manager,"Buffalo, NY",https://www.linkedin.com/jobs/view/project-manager-at-northern-clearing-inc-4438894054,https://www.northernclearing.com/,https://www.northernclearing.com/careers/,,,partial,partial,job_board_not_found,JOB_BOARD_NOT_FOUND,False,False,False,False,,
Project Manager,Adapture,Project Manager,"Sebree, KY",https://www.linkedin.com/jobs/view/project-manager-at-adapture-4440034727,https://adapture.com/,https://recruiting.paylocity.com/Recruiting/Jobs/All/4620587c-33fe-464d-ad40-ceb85c29436e,https://recruiting.paylocity.com/Recruiting/Jobs/All/4620587c-33fe-464d-ad40-ceb85c29436e,,success,partial,,OPENING_DISCOVERY_INCOMPLETE,False,False,False,False,,
Human Resources Manager,City of Sioux Falls,Talent Manager,"Sioux Falls, SD",https://www.linkedin.com/jobs/view/talent-manager-at-city-of-sioux-falls-4435941256,https://www.siouxfalls.gov,,,,partial,failed,career_page_not_found,CAREER_PAGE_NOT_FOUND,False,False,False,False,,
Human Resources Manager,WICHITA COMPANY LIMITED,Assistant Director of Human Resources,"Wichita, KS",https://www.linkedin.com/jobs/view/assistant-director-of-human-resources-at-wichita-company-limited-4441608516,https://www.wichita.co.uk,,,,partial,failed,career_page_not_found,CAREER_PAGE_NOT_FOUND,False,False,False,False,,
Human Resources Manager,City of College Station,HR Operations and Services Manager,"College Station, TX",https://www.linkedin.com/jobs/view/hr-operations-and-services-manager-at-city-of-college-station-4426127673,https://www.cstx.gov,https://www.governmentjobs.com/careers/cstx,,,partial,partial,job_board_not_found,JOB_BOARD_NOT_FOUND,False,False,False,False,,
Human Resources Manager,Jushi Holdings Inc.,Human Resources Manager,"Reno, NV",https://www.linkedin.com/jobs/view/human-resources-manager-at-jushi-holdings-inc-4422128904,https://jushico.com/,https://jushico.com/careers/,,,partial,partial,job_board_not_found,JOB_BOARD_NOT_FOUND,False,False,False,False,,
Human Resources Manager,State of Montana,Human Resources Manager,"Townsend, MT",https://www.linkedin.com/jobs/view/human-resources-manager-at-state-of-montana-4439231755,https://www.mt.gov,,,,partial,failed,career_page_not_found,CAREER_PAGE_NOT_FOUND,False,False,False,False,,
Human Resources Manager,Arkema,Human Resources Manager,"Beaumont, TX",https://www.linkedin.com/jobs/view/human-resources-manager-at-arkema-4424789545,https://www.arkema.com/global/en/,https://www.arkema.com/global/en/careers/join-us/,https://jobs.arkema.com/search/?createNewAlert=false&q=Human+Resources+Manager,https://jobs.arkema.com/job/Beaumont-Human-Resources-Manager-Job-TX-77657/1401455133/,success,success,,,False,False,False,False,,
Human Resources Manager,Arkema,Human Resources Manager Job,"Beaumont, TX",https://www.linkedin.com/jobs/view/human-resources-manager-job-at-arkema-4421174958,https://www.arkema.com/global/en/,https://www.arkema.com/global/en/careers/join-us/,https://jobs.arkema.com/search/?createNewAlert=false&q=Human+Resources+Manager+Job,https://jobs.arkema.com/job/Beaumont-Human-Resources-Manager-Job-TX-77657/1401455133/,success,success,,,False,False,False,False,,
